,index,Week,Date,Winner/tie,Loser/tie,isTie,PtsW,PtsL,type
0,1403,2022-4,2022-09-29,Miami Dolphins,Cincinnati Bengals,False,,,preview
1,1404,2022-4,2022-10-02,Minnesota Vikings,New Orleans Saints,False,,,preview
2,1405,2022-4,2022-10-02,Buffalo Bills,Baltimore Ravens,False,,,preview
3,1406,2022-4,2022-10-02,Chicago Bears,New York Giants,False,,,preview
4,1407,2022-4,2022-10-02,Cleveland Browns,Atlanta Falcons,False,,,preview
5,1408,2022-4,2022-10-02,Jacksonville Jaguars,Philadelphia Eagles,False,,,preview
6,1409,2022-4,2022-10-02,New York Jets,Pittsburgh Steelers,False,,,preview
7,1410,2022-4,2022-10-02,Tennessee Titans,Indianapolis Colts,False,,,preview
8,1411,2022-4,2022-10-02,Los Angeles Chargers,Houston Texans,False,,,preview
9,1412,2022-4,2022-10-02,Seattle Seahawks,Detroit Lions,False,,,preview
10,1413,2022-4,2022-10-02,Washington Commanders,Dallas Cowboys,False,,,preview
11,1414,2022-4,2022-10-02,Arizona Cardinals,Carolina Panthers,False,,,preview
12,1415,2022-4,2022-10-02,Denver Broncos,Las Vegas Raiders,False,,,preview
13,1416,2022-4,2022-10-02,New England Patriots,Green Bay Packers,False,,,preview
14,1417,2022-4,2022-10-02,Kansas City Chiefs,Tampa Bay Buccaneers,False,,,preview
15,1418,2022-4,2022-10-03,Los Angeles Rams,San Francisco 49ers,False,,,preview
